Size,FB_AverageTime(ns),DC_AverageTime(ns)
10,1566,5733
100,64733,61900
500,1611833,450633
1000,6850666,1056300
5000,166826233,6949066
10000,670261966,15808366
25000,4481936900,41461433
50000,17135940300,96210000
75000,39543594200,184993466
100000,68616045766,214357566
125000,110518855066,319649266
150000,152469474966,371681166
175000,208685567900,429156200
200000,284862161600,485941166
